doc_id,text
33,"Okul sıralarıyla 92 yaşında buluştu

Okuma yazma seferberliği kapsamında açılan kursa katılan 92 yaşındaki Güllü Saraç, yıllar sonra okul sıralarıyla buluşmanın mutluluğunu yaşıyor https://t.co/78igFSSxY6 https://t.co/x6A8EujC7n"
34,"RT @AACanli: #CumhurbaşkanıErdoğan: #Afrin şehir merkezi kontrol altına alındı. Hemen süratle okulları bakıma aldık. Hastaneleri, hepsini b…"
35,"PYD/PKK yanlıları Çeçenistan savaşından #Afrin yalanı üretti

#ZeytinDalıHarekatı'nı karalamak isteyen terör örgütü PYD/PKK destekçileri yalanlarına devam ediyor https://t.co/1wSe1jV8xC https://t.co/mrEKreuIzR"
36,"RT @AACanli: Cumhurbaşkanı Erdoğan, Zeytin Dalı Harekatı'nın başlangıcından bu yana 3698 teröristin etkisiz hale getirildiğini açıkladı."
37,"15 Temmuz Şehidi Münir Alkan'ın eşi Aylin Alkan: O gece 'uyudum' diyen, 'havaya sıktım, ateş etmedim' diyen asker üniforması giyip 'korktum' ya da 'ağladım' diyen herkesten şikayetçiyim https://t.co/Ely2yXjQjD https://t.co/x158gqYVO8"
38,"RT @AACanli: #CumhurbaşkanıErdoğan: Bugün burada, ""Daha Yeşil Bir Türkiye'yi Birlikte İnşa Edelim"" sloganıyla yeni bir hamle başlatıyoruz.…"
39,"❝Biyolojik annesi değilim ama yürekten annesiyim❞

Üç erkek çocukları olan Akbaşlı ailesi, kız çocuk hasretlerini 25 günlük iken aldıkları bir bebeğe koruyucu aile olarak giderdi https://t.co/n8Z3NbneVj https://t.co/HRiTyQVG8N"
40,"Teröristlere ait çok sayıda füze ve el yapımı patlayıcı ele geçirildi

ÖSO, #Afrin'de YPG/PKK cephanesi buldu https://t.co/AIZlqhf4BR https://t.co/DDoXcrW1jV"
41,Fetullahçı Terör Örgütü üyesi elektrik mühendisi İmralı'da PKK elebaşı Öcalan'la görüşmüş https://t.co/pWYYb0yu66 https://t.co/pEtGCrq1Iu
42,"RT @AACanli: #Canlı: #CumhurbaşkanıErdoğan, ""Milletimizle Birlikte Daha Yeşil Türkiye Buluşması""nda konuşuyor https://t.co/bNL9lqarg2"
43,"RT @AACanli: #BaşbakanYıldırım: 16 yılda 4 milyar 39 milyon fidanı toprakla buluşturduk. Bazıları diyor ki, iş yapmaya yüzü olmayan, sürekl…"
44,"• İTO
• İSO
• İSTİB
• DTO

#İstanbul'daki oda ve borsalarda seçim rüzgarı esiyor https://t.co/zgW3fXSStp https://t.co/hPBizFWyX9"
45,"❝Sayenizde terör örgütü PKK'dan kurtulduk❞

#ZeytinDalıHarekatı kapsamında terör örgütü YPG/PKK'nın işgalinden kurtarılan #Afrin'deki siviller özgürlüklerine kavuşmanın sevincini yaşıyor https://t.co/n9fjCPVaJ4"
46,"Bilinçsiz kullanım hem cana hem bütçeye zarar

Devlet ilaca 25 milyar lira ödedi https://t.co/FGNGBkQ4lZ https://t.co/yD2g5sDJlZ"
47,"RT @AACanli: #Canlı: #BaşbakanYıldırım, ""Milletimizle Birlikte Daha Yeşil Türkiye Buluşması""nda konuşuyor https://t.co/Ugas3meUXV"
48,"• Sadece YPG'nin Münbiç'ten çekilmesi yetmez
• #Münbiç'ten sonra sıra diğer şehirlere gelecek

Dışişleri Bakanı Çavuşoğlu'ndan açıklama https://t.co/oJ9s2T7yqv https://t.co/HKBsygj0lr"
49,"Başarılarının sırrı 'dostlukları'

Babaları kalp krizi geçirdikten sonra maddi imkansızlıkları aşmak için annelerine yardım eden iki down sendromlu arkadaş, dostluklarıyla engelleri aşarak başarı için mücadele veriyor https://t.co/ZRGuk6p97n

#DownSendromuFarkındalıkGünü https://t.co/fygZlTG3aD"
50,#Türkiye'de konut satışı azaldı https://t.co/v8lkeC8U8C https://t.co/96q2TDB3ld
51,Başbakan Yardımcısı Akdağ: #Afrin'de 29 noktada yiyecek ve hijyen paketleri dağıtıldı https://t.co/deSW7zHlvf https://t.co/xlJY2wVeeC
52,"'Nefer'li zırhlılar göreve başladı

Komuta ve devriye araçları için geliştirilen gizli zırhlama sistemi ""Nefer"", güvenlik güçlerinin kullanımına sunuldu https://t.co/DPorVh4DeJ https://t.co/G2Gg1Ra1or"
53,"RT @AACanli: Dışişleri Bakanı Çavuşoğlu:""Münbiçten sonra sıra diğer şehirlere gelecektir. Sadece Münbiç ve sadece YPG'nin Münbiç'ten çekilm…"
54,"RT @AACanli: Dışişleri Bakanı Çavuşoğlu: ""(ABD ile) Çalışma grubunun yol haritasını mutabakata bağlarsak 'anlaştık' diyebiliriz. Şimdi bir…"
55,"PYD/PKK yanlıları Çeçenistan savaşından #Afrin yalanı üretti

#ZeytinDalıHarekatı'nı karalamak isteyen terör örgütü PYD/PKK destekçileri yalanlarına devam ediyor https://t.co/1wSe1jV8xC https://t.co/JpciJncfbM"
56,"Ekonomi Bakanı Zeybekci: #Malta'ya ihracat 541,2 milyon dolara ulaştı https://t.co/qavVNYsR3j https://t.co/mk8j4xpHUP"
57,"Ünlü halk ozanı Aşık Veysel Şatıroğlu, ölümünün 45. yılında mezarı başında anıldı https://t.co/IM0pCCZ6E3 https://t.co/JDdwh5hRWd"
58,"Cumhurbaşkanı ve AK Parti Genel Başkanı Erdoğan, AK Parti'li 45 milletvekiliyle bir araya geldi https://t.co/cp67xIWOAb https://t.co/LYWjUXnjJ5"
59,RT @anadoluagency: PYD/PKK continues smear campaign against Afrin op https://t.co/q23pvZakSw https://t.co/8WffYYPZ32
60,"Dışişleri Bakanı Çavuşoğlu, #AAEditörMasası'na konuk olacak https://t.co/Lm4RJYb0p3 https://t.co/CJu1yf2zEV"
61,"Teröristlere ait çok sayıda füze ve el yapımı patlayıcı ele geçirildi

ÖSO, #Afrin'de YPG/PKK cephanesi buldu https://t.co/AIZlqgXtKj https://t.co/LOY6NfG1M4"
62,"❝Bugün ben çok yakışıklıyım❞

Tebessüm Kahvesi'nde çalışan down sendromlu Emrah, kendisi gibi gençlere, ailelerine ve topluma umut veriyor 

👆🏻 Tamamı #YouTube kanalımızda: https://t.co/C6JWirORVt

#DownSendromuFarkındalıkGünü https://t.co/5gkXTh8Q3d"
63,"Son teslim tarihinden sonra yapılacak başvurular kabul edilmeyecek

165 milyon avroluk hibeye başvuru süresi uzatıldı https://t.co/vgEOK3aMeL https://t.co/OZ3lgzQi6h"
