doc_id,token_id,token_text,start_capital,all_capital,capital_ratio,length,vowel_ratio,number_of_vowels,numeric_charecter,numeric_ratio,number_of_nonAlphanumeric,nonAlphanumericRatio,previous_word_text,prev_start_capital,prev_all_capital,prev_capital_ratio,prev_length,prev_vowel_ratio,prev_number_of_vowels,prev_numeric_charecter,prev_numeric_ratio,prev_number_of_nonAlphanumeric,prev_nonAlphanumericRatio,next_word_text,next_start_capital,next_all_capital,next_capital_ratio,next_length,next_vowel_ratio,next_number_of_vowels,next_numeric_charecter,next_numeric_ratio,next_number_of_nonAlphanumeric,next_nonAlphanumericRatio
5,3,1774,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0
5,4,Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,1774,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Nebulasý,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0
5,5,Nebulasý,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0
5,8,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,kez,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Herschel,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0
5,9,Herschel,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0
5,11,gözlemlendi,0,0,0.0,11,1.75,4.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,pOUA4Sqy2c,0,0,0.4,10,1.6666666666666667,3.0,2.0,0.2,0.0,0.0
6,3,HSBC,1,1,1.0,4,4.0,0.0,0.0,0.0,0.0,0.0,1865,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Hongkong,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0
6,4,Hongkong,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,HSBC,1,1,1.0,4,4.0,0.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0
6,6,Shanghai,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0
6,7,Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,Shanghai,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0
