doc_id,text
49,"Kaþarlý Köfte - Shato Steakhouse / #Ýstanbul ( Yýldýrým - #Bayrampaþa) 
? Çalýþma Saatleri 10:00-23:00
? 0 212 437 38 84
? 30?/ 250 Gram https://t.co/OXFSh5lTRw"
50,RT @dilarataogllu: Yemekneredeyenircom'a uzun uzun bakýp ic gecirdiðimiz saatlere hosgeldiniz
51,"Baþbakan Yýldýrým: Bu ihanet çetesini milletimizin gücü etkisiz hale getirecektir. Çok aptalca, çýlgýnca bir giriþimdir."
52,"??Açýk Büfe #Kahvaltý - Bambi Garden/ #Ýstanbul ( #Üsküdar )
? Kahvaltý Servis Saati 10:00 - 14:00
? 35?/ Kiþi Baþý
#yemekneredeyenir https://t.co/6U2y0pE00S"
53,"Güzel bir hafta için ?
Serpme #Kahvaltý - Dilek Pastanesi/ #Ýstanbul ( #Halkalý - Kanuni Þubesi ) 
? 48?/ Ýki Kiþilik
#yemekneredeyenir https://t.co/XR8HpU2ymM"
54,#Günaydýn ?? Bam's Sýcak Kahvaltý &amp; Bam's Klasik #Kahvaltý Bam's Cafe Restaurant #Ýstanbul #Acýbadem https://t.co/kkn8PdNRyu
55,"Nasýl da güzelsin ?? Dondurmalý Fýstýklý Atom - Vera Dolce #Ýstanbul #Ortaköy
? Çalýþma Saatleri Hafta Ýçi 11:00 - 00:00
? 10? https://t.co/11EBuwvrBr"
56,"Severiz ??
Samsalý Serpme Kahvaltý - Dumanti / Ýstanbul #Halkalý #kahvaltý? https://t.co/v2lVd5s0Db"
57,"Rüya gibi ? #Künefe Lezzet-i Þark Antep Sofrasý / Ýstanbul ( Tahtakale Hasýrcýlar Cad. Eminönü )
? 0 212 514 27 63
? 10? https://t.co/EdUuALxJxm"
58,"Yemeye doymuyoruz ? Chachas Lokum - Chacha's #Burger #Pizza #Steak / Ýstanbul #Çengelköy
? 0 216 308 05 55
? 44? / 200 Gram https://t.co/Tvv6wuG23v"
59,Vakti gelmiþti ?? Et Döner - Parça Döner / Ýstanbul (Beþiktaþ) https://t.co/ElURgTnbfS
60,"TCMB: KAPASÝTE KULLANIM ORANI MART'TA YÜZDE 77,8 (ÖNCEKÝ YÜZDE 77,8)"
61,Polis koleji sýnavýnda usulsüzlük operasyonu - https://t.co/rsYTMkyAjX https://t.co/5nPnlkH7aF
62,Çakar kontrolü engellenip açýða alýnan polisten suç duyurusu - https://t.co/ccwzPsEpLW https://t.co/fBDjS2bu1h
63,Ýsrail'de askerlik krizi - https://t.co/LAwMWjsmS7 https://t.co/hmGiNLRL5T
64,Fenerbahçe'den Alex açýklamasý - https://t.co/EE2lyeyq6I https://t.co/cd5GUqVAuu
65,Yolcu býçaklayan taksiciye 1.5 yýl hapis cezasý istendi - https://t.co/fnpToJLYKP https://t.co/jWRfPvP4mo
66,ABD'de silahlý saldýrý! Rehineler var - https://t.co/gELVoSvXcR https://t.co/Am8Y1Za7yu
67,Morgan Stanley: Dolar zayýflayacak - https://t.co/QxJLGBlRDz https://t.co/BLQ7yTH8gI
68,Teþvik döneminde 1 milyonu aþkýn istihdam gerçekleþti - https://t.co/UGomlYV5zQ https://t.co/kafWEoIZE1
69,KRGYO: Karlýlýðý azaldý - https://t.co/zAetWnXMOW https://t.co/47K89xQFS4
70,Arap basýnýndan müthiþ takas iddiasý - https://t.co/2XUZx5E0jt https://t.co/6K2AlMz8z1
71,Borsa Ýstanbul yükseliþle açýldý - https://t.co/XkzeYUetO1 https://t.co/NMMxj6XGs0
72,BORSA ÝSTANBUL GÜNÜ YÜZDE 1.08 ORANINDA YÜKSELÝÞLE 118 BÝN 791 PUANDAN KAPADI
73,CHP'den istifa edip AK Parti'ye geçtiler - https://t.co/T85AzpRNZI https://t.co/ANO3EhVKYG
74,Milyonlarý ilgilendiren düzenleme haftaya Meclis'te - https://t.co/wfc4e35wiD https://t.co/cLjbscebGL
75,1 milyon dolarlýk tarihi eser operasyonu - https://t.co/IlUzYBKqdj https://t.co/sT7WL5n8AH
76,Ali Koç Aziz Yýldýrým'a meydan okudu - https://t.co/GFlbLLfhJS https://t.co/EaxfXI8NKZ
77,"Maharet Döner ( Ýzmir , Bayraklý ) #bugunnereyegitsem @maharetdoner @ Maharet Döner https://t.co/YdSBHqsVTY"
78,Daha iyisi yok ???? Öz Ýkizler Künefe ( Gaziantep ) #bugunnereyegitsem @ Öz Ýkizler Künefe https://t.co/2BgJqE5IeS
79,Ýmam Çaðdaþ ( Gaziantep ) #bugunnereyegitsem @ Ýmam Çaðdaþ https://t.co/19F61Vb0Y9
80,Sahurda Nerdesiniz ? ?? @ Varyap Meridian C blok https://t.co/vsSim0yiSL
81,Godiva ( Akasya Avm ) #bugunnereyegitsem #bng @ Godiva Akasya Avm https://t.co/G4hQH2sorl
82,Sole Mare ( Çeþme ) #bugunnereyegitsem @cesmesolemare https://t.co/MPqXrraV8g
83,Pazar Kahvaltýsý ?????? Cookline Pancake ( Baðdat Caddesi - Þaþkýnbakkal ) #bng #bugunnereyegitsem… https://t.co/wTPuwUAXGE
84,Kemal Usta Waffle ( Mado ) #bugunnereyegitsem #bng #kemalustawaffle @ Kemal Usta Waffles Moda https://t.co/ywGwZS3BJW
85,"Ankara'ya doðru yola çýktýk akþam yemegine nereye gidelim, önerileri alalým ? ? http://t.co/2jAgemNcri"
86,Aný Yakala ?? http://t.co/6GF4QM5gpC
87,Kahvaltý önerimiz The Mono Restaurant ( Sakarya ) #bugunnereyegitsem #günaydýn #sakarya #kahvaltý http://t.co/bxNraATuTP
88,Eataly ( Zorlu Center ) #bugunnereyegitsem #eataly #zorlucenter @ Eataly http://t.co/DaN1kAjeiz
89,Akþam yemegi önerimiz Çömlek Çamlýca #bugunnereyegitsem #çömlek @ Çömlek Kurufasulye Çamlýca http://t.co/DPeXkQvfAh
90,Kýzýnýn doðduðu gün annesi öldü iki oðlu yoðun bakýmda https://t.co/dKEU2TcRey https://t.co/pNjsJ2YhaD
91,Çavuþoðlu'ndan Merkel'e yanýt: YPG ile ayný üslup https://t.co/Oin4k8cGKm
92,Konya'da 194 ton '10 numara yað' ele geçirildi https://t.co/1BdwEAShVo https://t.co/AlASNzC5wT
93,Belediye Baþkanýnýn makam odasýnda beylik sancaðý https://t.co/IHdsjtlfz6 https://t.co/arV0jQSK7H
94,Çavuþoðlu ABD'nin açýklamasýna yanýt verdi ? https://t.co/m6Jw2ukCQY
95,Afrin'de teröristlerin tünelleri görüntüledi ? https://t.co/yrv9d58u0k
96,"Türk bayraðýna bastýðý fotoðrafý paylaþmýþtý, tutuklandý https://t.co/N4FbhZXVvc https://t.co/DDE01bfeRX"
97,Fransa'da üniversiteye kayyum atandý https://t.co/l0rRYNE4AI https://t.co/VmVnBGCjtQ
98,Halk otobüsünde iðrenç olay! Üniversitelileri taciz edip mastürbasyon yaptý https://t.co/ZPoHf0YGf0 https://t.co/Isqp3QatvM
